direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
short,2024-02-22 20:00:00+00:00,2024-03-06 14:00:00+00:00,1.0824854373931885,1.0890679105997085,1.0627380177736283,1.0890679105997085,3.0,-1.0,stop,fvg,208,1.0207076743474996
short,2024-03-11 12:00:00+00:00,2024-03-20 22:00:00+00:00,1.0932546854019165,1.0932546854019165,1.0829542875289917,1.0932546854019165,2.1017716734070375,0.6305120425246374,be_stop,fvg,177,2.8247646753943765
long,2024-04-09 05:00:00+00:00,2024-04-10 12:00:00+00:00,1.086130142211914,1.0821517810106278,1.0980652258157728,1.0821517810106278,3.0,-1.0,stop,fvg,31,2.656880271937555
long,2024-04-16 22:00:00+00:00,2024-04-17 17:00:00+00:00,1.062134861946106,1.062134861946106,1.0666667222976685,1.0666667222976685,2.3831297283649424,1.9351018409326968,target,fvg,19,0.5996272242394536
short,2024-04-19 11:00:00+00:00,2024-04-23 07:00:00+00:00,1.0654165744781494,1.068475633406639,1.0562393976926807,1.068475633406639,3.0,-1.0,stop,fvg,43,1.2709236542877949
short,2024-05-10 14:00:00+00:00,2024-05-13 11:00:00+00:00,1.076658010482788,1.0794301773548125,1.0698620080947876,1.0794301773548125,2.45151273416582,-1.0,stop,fvg,20,1.3831165536254926
long,2024-05-19 23:00:00+00:00,2024-05-22 11:00:00+00:00,1.0875475406646729,1.0836766396284103,1.0991602437734604,1.0836766396284103,3.0,-1.0,stop,fvg,60,2.5963717184542126
long,2024-05-27 14:00:00+00:00,2024-05-28 14:00:00+00:00,1.086130142211914,1.086130142211914,1.0917278971910476,1.086130142211914,3.0,0.5066616568463007,be_stop,fvg,24,1.8446695266746176
short,2024-06-18 19:00:00+00:00,2024-06-24 13:00:00+00:00,1.074113845825195,1.074113845825195,1.067463755607605,1.074113845825195,2.6308785314820398,0.9994131469015158,be_stop,fvg,89,0.694683981971228
short,2024-07-10 19:00:00+00:00,2024-07-10 22:00:00+00:00,1.0831888914108276,1.0834055291891098,1.082719802856445,1.0834055291891098,2.165312800482736,-1.0,stop,fvg,3,1.959908967143093
long,2024-07-24 21:00:00+00:00,2024-07-25 12:00:00+00:00,1.0843634605407717,1.0843634605407717,1.0894432067871094,1.0843634605407717,3.124528932094652,0.5433389511597548,be_stop,fvg,15,2.2967247908776893
long,2024-08-05 08:00:00+00:00,2024-08-19 10:00:00+00:00,1.095170259475708,1.080397609591484,1.13948820912838,1.103996515274048,3.0,0.5974727531968247,time,fvg,240,1.7026797306258932
long,2024-09-04 08:00:00+00:00,2024-09-06 12:00:00+00:00,1.1054610013961792,1.1054610013961792,1.1135857105255127,1.1135857105255127,3.0552416560545033,2.1267449529361864,target,fvg,52,1.3651279529900635
long,2024-09-11 01:00:00+00:00,2024-09-11 12:00:00+00:00,1.103996515274048,1.1015866368532183,1.109139323234558,1.1015866368532183,2.1340528700777073,-1.0,stop,fvg,11,1.0081592722214208
short,2024-09-20 14:00:00+00:00,2024-09-24 08:00:00+00:00,1.1147029399871826,1.1147029399871826,1.103996515274048,1.1147029399871826,2.700996115169221,0.593087164156831,be_stop,fvg,41,0.8455180324550454
long,2024-10-07 12:00:00+00:00,2024-10-09 13:00:00+00:00,1.0981770753860474,1.0951911457300185,1.1042402982711792,1.0951911457300185,2.0305980326394106,-1.0,stop,fvg,48,0.6995752795354078
short,2024-10-13 23:00:00+00:00,2024-10-17 13:00:00+00:00,1.0926573276519775,1.095869445347786,1.0830209745645523,1.0830209745645523,3.0,3.0,target,fvg,86,0.8749072544192167
short,2024-10-21 11:00:00+00:00,2024-10-21 16:00:00+00:00,1.085894227027893,1.085894227027893,1.08236825466156,1.08236825466156,2.157528432064068,2.0141211395684313,target,fvg,5,0.539650426510782
short,2024-11-15 14:00:00+00:00,2024-11-18 17:00:00+00:00,1.053629755973816,1.0593094671964645,1.0365906223058703,1.0593094671964645,3.0,-1.0,stop,fvg,26,1.2658331594788388
long,2024-12-20 07:00:00+00:00,2025-01-02 10:00:00+00:00,1.0387451648712158,1.0345612701177598,1.048327922821045,1.0345612701177598,2.290391731750282,-1.0,stop,fvg,186,1.5025383455069392
long,2025-01-15 09:00:00+00:00,2025-01-27 13:00:00+00:00,1.0313531160354614,1.0313531160354614,1.0528864710807802,1.0528864710807802,3.0,2.1353922540220136,target,fvg,194,0.8389246122958379
short,2025-02-04 05:00:00+00:00,2025-02-04 14:00:00+00:00,1.029654026031494,1.0354037012815474,1.0124050002813336,1.0354037012815474,3.0,-1.0,stop,fvg,9,1.6243328236346326
long,2025-02-07 08:00:00+00:00,2025-02-07 15:00:00+00:00,1.040149807929993,1.0355255995750428,1.0540224329948433,1.0355255995750428,3.0,-1.0,stop,fvg,7,1.074173350143558
long,2025-02-21 18:00:00+00:00,2025-02-24 01:00:00+00:00,1.0462440252304075,1.0462440252304075,1.049097776412964,1.049097776412964,2.3913520622056583,1.9766938722137466,target,fvg,6,0.7581382030222962
long,2025-03-31 16:00:00+00:00,2025-04-01 11:00:00+00:00,1.0813149213790894,1.0785329532623291,1.092060685157776,1.0785329532623291,3.862648070604351,-1.0,stop,fvg,19,1.331449837304912
long,2025-05-06 08:00:00+00:00,2025-05-08 06:00:00+00:00,1.1330161094665527,1.1280604660511018,1.1478830397129056,1.1280604660511018,3.0,-1.0,stop,fvg,46,1.5791656846570823
long,2025-05-09 07:00:00+00:00,2025-05-12 07:00:00+00:00,1.1254924535751345,1.119847754406929,1.1373976469039917,1.119847754406929,2.109092614875682,-1.0,stop,fvg,23,0.971836673809671
short,2025-06-09 04:00:00+00:00,2025-06-10 09:00:00+00:00,1.1422044038772583,1.1422044038772583,1.1368803977966309,1.1422044038772583,2.0618876542001128,0.8555995824424798,be_stop,fvg,29,1.9321615787850754
short,2025-06-17 13:00:00+00:00,2025-06-23 17:00:00+00:00,1.156336784362793,1.156336784362793,1.1436413526535034,1.156336784362793,2.2647840655766984,0.7459536951109583,be_stop,fvg,99,1.1485460197536694
short,2025-06-26 22:00:00+00:00,2025-06-27 12:00:00+00:00,1.168770432472229,1.1747708969593045,1.1551345586776731,1.1747708969593045,2.2724697102910083,-1.0,stop,fvg,14,0.6948735380934759
short,2025-07-04 13:00:00+00:00,2025-07-07 00:00:00+00:00,1.1784114837646484,1.1792030309200288,1.1764705181121826,1.1792030309200288,2.452116262780609,-1.0,stop,fvg,10,1.0798227082554486
short,2025-08-07 22:00:00+00:00,2025-08-11 03:00:00+00:00,1.1675423383712769,1.1675423383712769,1.1617100238800049,1.1675423383712769,2.061113799862358,0.6243584480503218,be_stop,fvg,28,0.6736948495865912
long,2025-08-12 04:00:00+00:00,2025-08-20 01:00:00+00:00,1.163061261177063,1.163061261177063,1.1746799413204185,1.163061261177063,3.0,0.5081539736644083,be_stop,fvg,140,1.5463992707383774
long,2025-09-10 23:00:00+00:00,2025-09-11 06:00:00+00:00,1.1706860065460205,1.1689465571403501,1.1745359897613523,1.1689465571403501,2.213334405002721,-1.0,stop,fvg,7,0.6089320974999191
long,2025-09-12 18:00:00+00:00,2025-09-16 16:00:00+00:00,1.1745359897613523,1.1704518693447112,1.1867883510112756,1.1867883510112756,3.0,3.0,target,bpr,45,2.460553600304385
short,2025-09-24 00:00:00+00:00,2025-09-24 09:00:00+00:00,1.1807769536972046,1.1807769536972046,1.176747441291809,1.176747441291809,2.2738415909912275,1.7651500901606358,target,fvg,9,0.552259125464859
long,2025-10-10 07:00:00+00:00,2025-10-13 11:00:00+00:00,1.1582117080688477,1.1582117080688477,1.1683608293533323,1.1582117080688477,2.8389838672608687,0.6782756187324074,be_stop,fvg,27,1.574230283753802
short,2025-11-10 00:00:00+00:00,2025-11-11 13:00:00+00:00,1.1558021306991575,1.1595176409244536,1.1479737758636477,1.1595176409244536,2.1069393867395005,-1.0,stop,fvg,37,1.5044424818310473
short,2025-11-12 18:00:00+00:00,2025-11-12 22:00:00+00:00,1.1594202518463137,1.1603248492240905,1.1575413942337036,1.1603248492240905,2.0770097932714093,-1.0,stop,bpr,4,1.1191843597914253
long,2025-12-08 06:00:00+00:00,2025-12-08 15:00:00+00:00,1.1664528846740725,1.1629638052225113,1.176920123028756,1.1629638052225113,3.0,-1.0,stop,fvg,9,0.824092592353647
short,2025-12-16 05:00:00+00:00,2025-12-16 12:00:00+00:00,1.175364375114441,1.1773984374761581,1.1690436601638794,1.1773984374761581,3.1074342013906553,-1.0,stop,fvg,7,0.8762864308573259
long,2025-12-22 00:00:00+00:00,2025-12-22 13:00:00+00:00,1.1719207763671875,1.1719207763671875,1.1749500036239624,1.1749500036239624,2.062232129347625,1.7805022156475658,target,fvg,13,0.5743921666251763
short,2025-12-24 03:00:00+00:00,2025-12-31 08:00:00+00:00,1.1791062355041504,1.1791062355041504,1.1731581687927246,1.1731581687927246,2.1675611853182533,1.790748901338565,target,bpr,111,0.668321885643094
long,2026-01-23 05:00:00+00:00,2026-01-27 15:00:00+00:00,1.175364375114441,1.1685366783857345,1.1958474653005602,1.1958474653005602,3.0,3.0,target,fvg,57,1.2055882273232337
long,2026-02-04 12:00:00+00:00,2026-02-05 21:00:00+00:00,1.182592272758484,1.1781758014678956,1.1946003437042236,1.1781758014678956,2.718928790803789,-1.0,stop,fvg,33,2.0548867049935597
long,2026-02-09 01:00:00+00:00,2026-02-19 12:00:00+00:00,1.1828720569610596,1.1780370696067808,1.1946003437042236,1.1780370696067808,2.425711978912408,-1.0,stop,fvg,202,0.8498713017325163
short,2026-03-10 19:00:00+00:00,2026-03-13 08:00:00+00:00,1.1617100238800049,1.1617100238800049,1.145147956633567,1.145147956633567,3.0,2.095529389944903,target,fvg,61,0.6234064365493189
short,2026-03-18 13:00:00+00:00,2026-03-19 13:00:00+00:00,1.1518083810806274,1.1518083810806274,1.1419435739517212,1.1518083810806274,2.411196539382806,0.5812810006092576,be_stop,fvg,24,0.912735481862312
short,2026-03-20 09:00:00+00:00,2026-03-23 11:00:00+00:00,1.1552680730819702,1.1620773377895355,1.141422152519226,1.1620773377895355,2.0333943762475517,-1.0,stop,fvg,24,1.082613840557479
short,2026-04-10 06:00:00+00:00,2026-04-10 12:00:00+00:00,1.168770432472229,1.1728424202919006,1.158077597618103,1.1728424202919006,2.6259496166637515,-1.0,stop,fvg,6,1.8159944555768157
long,2026-05-04 04:00:00+00:00,2026-05-04 08:00:00+00:00,1.1731581687927246,1.1718236938476563,1.1759172677993774,1.1718236938476563,2.0675539970602843,-1.0,stop,fvg,4,0.8317915899025432
long,2026-05-11 12:00:00+00:00,2026-05-12 07:00:00+00:00,1.1775789260864258,1.1749911663055421,1.1853422054290768,1.1749911663055421,3.0,-1.0,stop,fvg,19,0.8831120783460282
long,2026-05-25 09:00:00+00:00,2026-05-28 04:00:00+00:00,1.16441547870636,1.1590539266109467,1.1805001349926,1.1590539266109467,3.0,-1.0,stop,fvg,67,0.5384019938922067
short,2026-06-01 23:00:00+00:00,2026-06-04 11:00:00+00:00,1.163873314857483,1.163873314857483,1.1542096132516864,1.163873314857483,3.0,0.545025565816118,be_stop,fvg,60,2.159020947518582
